SEASON,NAME,CLASS,CODE,URL,DUST,RATING,UPLOADER,DATE,FORMAT,TYPE,STYLE
50,Sipwi’s #6 Legend Quest Rogue – Witchwood Post-Nerf,Rogue,AAEBAaIHBs0DmwWGwgKA0wLP4QLD6gIMxAGcAu0CnwOIBdQFhgmXwQL8wQLH0wLb4wL27AIA,https://www.hearthstonetopdecks.com/decks/sipwis-6-legend-quest-rogue-witchwood-post-nerf/,8080,6,Sipiwi94,"May 27, 2018",Raven,Aggro,Ladder
50,Kycoo’s (Gyong) #1 Legend Miracle Rogue – Witchwood Post-Nerf,Rogue,AAEBAaIHArICrwQOtAGMAs0DvQSbBYgHpAfdCIYJgcIC68IC3NEC2+MCpu8CAA==,https://www.hearthstonetopdecks.com/decks/kycoos-gyong-1-legend-miracle-rogue-witchwood-post-nerf/,6520,26,Kycoo,"May 27, 2018",Raven,Midrange,Ladder
50,Kycoo’s #1 Legend Token Druid – Witchwood Post-Nerf,Druid,AAEBAZICBkD+AfcDn8ACmdMChOYCDF/9AuYFxAaFCOQIoM0Ch84CmNICntIC29MC1+8CAA==,https://www.hearthstonetopdecks.com/decks/kycoos-1-legend-token-druid-witchwood-post-nerf/,5940,18,Kycoo,"May 27, 2018",Raven,Token,Ladder
50,Gaby’s #4 Legend Cubelock – Witchwood Post-Nerf,Warlock,AAEBAf0GBooBycICws4Cl9MC2+kCnPgCDJME9wS2B+EHm8IC58sC8tAC+NACiNICi+EC/OUC6OcCAA==,https://www.hearthstonetopdecks.com/decks/gabys-4-legend-cubelock-witchwood-post-nerf/,12760,10,Evident,"May 27, 2018",Raven,Combo,Ladder
50,Sipiwi’s #6 Legend Spell Hunter – Witchwood Post-Nerf,Hunter,AAEBAR8EhsMC6dIChtMC3O4CDY0BqAK1A4cEyQSXCNsJ/gzd0gLf0gLj0gLh4wLq4wIA,https://www.hearthstonetopdecks.com/decks/sipiwis-6-legend-spell-hunter-witchwood-post-nerf/,5140,18,Sipiwi94,"May 27, 2018",Raven,Midrange,Ladder
50,Kranich’s #11 Legend Tempo Mage – Post Nerf Witchwood,Mage,AAEBAf0EApYGotMCDnG7ApUDtATmBJYF7AXBwQKYxAKP0wK+7AL77ALl7wLv8QIA,https://www.hearthstonetopdecks.com/decks/kranichs-11-legend-tempo-mage-post-nerf-witchwood/,4560,3,Kranich,"May 29, 2018",Raven,Tempo,Ladder
50,Fe4rlezz’s Legend Elemental Mage – Post Nerf Witchwood,Mage,AAEBAf0ECNACxQTsB78IlscCm9MC29MCt/ECC027AskDqwSWBevCAsrDApjEAsjHApbkAs7yAgA=,https://www.hearthstonetopdecks.com/decks/fe4rlezzs-legend-elemental-mage-post-nerf-witchwood/,8640,34,Evident,"May 29, 2018",Raven,Midrange,Ladder
50,Gugabvs’ Togwaggle Mill Druid – Post Nerf Witchwood,Druid,AAEBAZICBv4BysMCmdMCm+gC/esCmu4CDEBf6QHEBuQIoM0Ch84ClNICmNICntIChOYCv/ICAA==,https://www.hearthstonetopdecks.com/decks/gugabvs-togwaggle-mill-druid-post-nerf-witchwood/,9040,12,Evident,"May 29, 2018",Raven,Mill,Ladder
50,Dizzl’s Legend Overload Shaman – Post Nerf Witchwood,Shaman,AAEBAaoIAsAHp+4CDooB+wGUA4EE9QT+BbIG9QjHwQL+zQKNzgK60gLD0gLz5wIA,https://www.hearthstonetopdecks.com/decks/dizzls-legend-overload-shaman-post-nerf-witchwood/,6160,23,Evident,"May 29, 2018",Raven,Control,Ladder
50,Pandadude’s Corpse Widow Cube Hunter – Post Nerf Witchwood,Hunter,AAEBAR8G7QX4CNjCAsrDAobTArbqAgyKAY0B+wGXCO0JnM0C080Cxs4C3dICi+EC4eMCxfMCAA==,https://www.hearthstonetopdecks.com/decks/pandadudes-corpse-widow-cube-hunter-post-nerf-witchwood/,9020,13,Evident,"May 29, 2018",Raven,Control,Ladder
50,Firebat’s Top 50 Legend Malygos Druid – Post Nerf Witchwood,Druid,AAEBAZICCFa0A5ME7QWgzQLCzgKZ0wKb6AILQF/+AdMDxAbkCIfOApjSAp7SAtvTAr/yAgA=,https://www.hearthstonetopdecks.com/decks/firebats-top-50-legend-malygos-druid-post-nerf-witchwood/,11560,11,Stonekeep,"May 30, 2018",Raven,Combo,Ladder
50,Fibonacci’s Legend Big/Recruit Warrior – Post Nerf Witchwood,Warrior,AAEBAQcKS9ICsgiiCY7OAsLOAp/TAs/lAv3nAurqAgqiBJEG/wfGwgK5wwLMzQL2zwLx0wLq5wKb8wIA,https://www.hearthstonetopdecks.com/decks/fibonaccis-legend-big-recruit-warrior-post-nerf-witchwood/,13400,7,Fibonacci,"May 30, 2018",Raven,Control,Ladder
50,Deathrattle Recruit Hunter – Post Nerf Witchwood,Hunter,AAEBAR8K8gX4CNPFAsLOAobTAtHTAufhApziArbqAoDzAgrGwgLrwgLKwwKbywKczQLTzQLd0gLh4wLt6gLy8QIA,https://www.hearthstonetopdecks.com/decks/deathrattle-recruit-hunter-post-nerf-witchwood/,12060,19,Stonekeep,"May 30, 2018",Raven,Midrange,Ladder
